iter	Recall	Logloss
534	0.88113879	0.05224467402
535	0.88113879	0.05207475484
536	0.8832740214	0.05195195613
537	0.8832740214	0.05179534527
538	0.8854092527	0.0516769068
539	0.8854092527	0.0515251764
540	0.8868327402	0.05138086264
541	0.887544484	0.05125956937
542	0.8896797153	0.05109467048
543	0.8896797153	0.05097313335
544	0.8896797153	0.05083512095
545	0.8896797153	0.05071566477
546	0.8903914591	0.0505784555
547	0.8918149466	0.05045205415
548	0.8918149466	0.05028987349
549	0.8925266904	0.05013038832
550	0.8925266904	0.05001282449
551	0.8925266904	0.04988001122
552	0.8925266904	0.04976466816
553	0.8925266904	0.0496306616
554	0.8925266904	0.04947234695
555	0.8925266904	0.04935717297
556	0.8925266904	0.0492197426
557	0.8925266904	0.04910331354
558	0.8953736655	0.04895445421
559	0.8953736655	0.04884218055
560	0.8953736655	0.04871278783
561	0.8953736655	0.04859700907
562	0.8982206406	0.0484524482
563	0.8989323843	0.04833343422
564	0.8989323843	0.04820725072
565	0.8996441281	0.04808170776
566	0.9010676157	0.0479644008
567	0.9010676157	0.04782018458
568	0.9010676157	0.04770553084
569	0.9010676157	0.04758345721
570	0.9010676157	0.04747166152
571	0.9010676157	0.04733395151
572	0.9010676157	0.04721986027
573	0.9017793594	0.04709838167
574	0.9017793594	0.0469892782
575	0.9017793594	0.04686895387
576	0.9017793594	0.04675821491
577	0.9017793594	0.04662909532
578	0.9024911032	0.04651466267
579	0.9024911032	0.04640645662
580	0.903202847	0.04627677452
581	0.9039145907	0.04616761903
582	0.903202847	0.0460507998
583	0.9039145907	0.0459446942
584	0.9046263345	0.04584358612
585	0.9053380783	0.04573322758
586	0.9060498221	0.0456303442
587	0.9060498221	0.04550406316
588	0.9081850534	0.04539923864
589	0.9081850534	0.04529977581
590	0.9096085409	0.04516854927
591	0.9096085409	0.04506510663
592	0.9110320285	0.04496682084
593	0.9138790036	0.04483684286
594	0.9138790036	0.04473319863
595	0.9138790036	0.0446352575
596	0.9138790036	0.04454539955
597	0.9138790036	0.04446242174
598	0.9153024911	0.04433880041
599	0.9153024911	0.04423620966
600	0.9153024911	0.04414036248
601	0.9167259786	0.04403350904
602	0.9167259786	0.04393837719
603	0.9174377224	0.04385221293
604	0.9174377224	0.0437667965
605	0.9174377224	0.04368518431
606	0.9160142349	0.04355969013
607	0.9167259786	0.04346737731
608	0.9181494662	0.04336870135
609	0.91886121	0.04328536912
610	0.9181494662	0.04320700842
611	0.91886121	0.04311661723
612	0.9202846975	0.04300862576
613	0.9202846975	0.04290255918
614	0.9202846975	0.0428082467
615	0.9231316726	0.04270268735
616	0.9224199288	0.04261221813
617	0.9238434164	0.04253123998
618	0.9266903915	0.04242149922
619	0.9274021352	0.04233431074
620	0.928113879	0.04223161594
621	0.9288256228	0.04214551345
622	0.9288256228	0.04204424281
623	0.9302491103	0.04195280139
624	0.9302491103	0.04184185758
625	0.9302491103	0.04175700692
626	0.9302491103	0.04166853085
627	0.9309608541	0.04156665868
628	0.9316725979	0.04147346471
629	0.9316725979	0.04138903349
630	0.9316725979	0.04127071207
