iter	Passed	Remaining
1286	13296	2200
1287	13306	2190
1288	13316	2179
1289	13326	2169
1290	13337	2159
1291	13347	2148
1292	13357	2138
1293	13367	2127
1294	13377	2117
1295	13387	2107
1296	13397	2096
1297	13407	2086
1298	13417	2076
1299	13427	2065
1300	13437	2055
1301	13447	2045
1302	13457	2034
1303	13468	2024
1304	13478	2013
1305	13488	2003
1306	13498	1993
1307	13508	1982
1308	13519	1972
1309	13530	1962
1310	13541	1952
1311	13551	1941
1312	13562	1931
1313	13573	1921
1314	13584	1911
1315	13595	1900
1316	13606	1890
1317	13617	1880
1318	13627	1870
1319	13638	1859
1320	13648	1849
1321	13659	1839
1322	13670	1828
1323	13680	1818
1324	13691	1808
1325	13701	1797
1326	13711	1787
1327	13722	1777
1328	13733	1767
1329	13743	1756
1330	13754	1746
1331	13765	1736
1332	13775	1725
1333	13786	1715
1334	13797	1705
1335	13807	1694
1336	13817	1684
1337	13828	1674
1338	13838	1663
1339	13849	1653
1340	13859	1643
1341	13870	1632
1342	13880	1622
1343	13890	1612
1344	13900	1601
1345	13910	1591
1346	13920	1581
1347	13930	1570
1348	13940	1560
1349	13950	1550
1350	13960	1539
1351	13971	1529
1352	13981	1519
1353	13991	1508
1354	14001	1498
1355	14011	1487
1356	14021	1477
1357	14031	1467
1358	14041	1456
1359	14051	1446
1360	14061	1436
1361	14071	1425
1362	14082	1415
1363	14092	1405
1364	14102	1394
1365	14112	1384
1366	14122	1374
1367	14132	1363
1368	14142	1353
1369	14152	1342
1370	14162	1332
1371	14172	1322
1372	14182	1311
1373	14192	1301
1374	14202	1291
1375	14212	1280
1376	14222	1270
1377	14232	1260
1378	14243	1249
1379	14253	1239
1380	14263	1229
1381	14273	1218
1382	14283	1208
1383	14293	1198
1384	14304	1187
1385	14314	1177
1386	14324	1167
1387	14335	1156
1388	14345	1146
1389	14355	1136
1390	14366	1125
1391	14376	1115
1392	14386	1105
1393	14396	1094
1394	14406	1084
1395	14416	1074
1396	14428	1063
1397	14438	1053
1398	14448	1043
1399	14458	1032
1400	14468	1022
1401	14478	1012
1402	14489	1001
1403	14499	991
1404	14509	981
1405	14520	970
1406	14530	960
1407	14540	950
1408	14551	939
1409	14561	929
1410	14572	919
1411	14582	908
1412	14593	898
1413	14603	888
1414	14614	877
1415	14624	867
1416	14634	857
1417	14645	846
1418	14655	836
1419	14666	826
1420	14677	815
1421	14687	805
1422	14697	795
1423	14708	784
1424	14718	774
1425	14729	764
1426	14739	754
1427	14749	743
1428	14759	733
1429	14769	722
1430	14779	712
1431	14789	702
1432	14799	691
1433	14810	681
1434	14820	671
1435	14830	660
1436	14841	650
1437	14851	640
1438	14861	630
1439	14872	619
1440	14882	609
1441	14892	598
1442	14902	588
1443	14912	578
1444	14922	567
1445	14932	557
1446	14942	547
1447	14952	536
1448	14962	526
1449	14972	516
1450	14982	505
1451	14992	495
1452	15002	485
1453	15013	474
1454	15022	464
1455	15032	454
1456	15043	443
1457	15053	433
1458	15063	423
1459	15073	412
1460	15083	402
1461	15093	392
1462	15103	381
1463	15113	371
1464	15123	361
1465	15134	350
1466	15144	340
1467	15154	330
1468	15164	320
1469	15174	309
1470	15184	299
1471	15194	289
1472	15204	278
1473	15214	268
1474	15224	258
1475	15234	247
1476	15244	237
1477	15254	227
1478	15264	216
1479	15274	206
1480	15284	196
1481	15294	185
1482	15305	175
1483	15315	165
1484	15325	154
1485	15335	144
1486	15345	134
1487	15355	123
1488	15366	113
1489	15376	103
1490	15385	92
1491	15396	82
1492	15406	72
1493	15416	61
1494	15426	51
1495	15436	41
1496	15446	30
1497	15456	20
1498	15466	10
1499	15476	0
